x           v(x)
0.000e+00      0.000e+00
1.000e-01      8.343e+01
2.000e-01      9.807e+01
3.000e-01      1.028e+02
4.000e-01      1.038e+02
5.000e-01      1.035e+02
6.000e-01      1.027e+02
7.000e-01      1.017e+02
8.000e-01      1.006e+02
9.000e-01      9.949e+01
1.000e+00      9.839e+01
1.100e+00      9.729e+01
1.200e+00      9.619e+01
1.300e+00      9.508e+01
1.400e+00      9.397e+01
1.500e+00      9.287e+01
1.600e+00      9.176e+01
1.700e+00      9.066e+01
1.800e+00      8.955e+01
1.900e+00      8.845e+01
2.000e+00      8.734e+01
2.100e+00      8.624e+01
2.200e+00      8.513e+01
2.300e+00      8.402e+01
2.400e+00      8.292e+01
2.500e+00      8.181e+01
2.600e+00      8.071e+01
2.700e+00      7.960e+01
2.800e+00      7.850e+01
2.900e+00      7.739e+01
3.000e+00      7.629e+01
3.100e+00      7.518e+01
3.200e+00      7.407e+01
3.300e+00      7.297e+01
3.400e+00      7.186e+01
3.500e+00      7.076e+01
3.600e+00      6.965e+01
3.700e+00      6.855e+01
3.800e+00      6.744e+01
3.900e+00      6.634e+01
4.000e+00      6.523e+01
4.100e+00      6.412e+01
4.200e+00      6.302e+01
4.300e+00      6.191e+01
4.400e+00      6.081e+01
4.500e+00      5.970e+01
4.600e+00      5.860e+01
4.700e+00      5.749e+01
4.800e+00      5.639e+01
4.900e+00      5.528e+01
5.000e+00      5.417e+01
5.100e+00      5.307e+01
5.200e+00      5.196e+01
5.300e+00      5.086e+01
5.400e+00      4.975e+01
5.500e+00      4.865e+01
5.600e+00      4.754e+01
5.700e+00      4.643e+01
5.800e+00      4.533e+01
5.900e+00      4.422e+01
6.000e+00      4.312e+01
6.100e+00      4.201e+01
6.200e+00      4.091e+01
6.300e+00      3.980e+01
6.400e+00      3.870e+01
6.500e+00      3.759e+01
6.600e+00      3.648e+01
6.700e+00      3.538e+01
6.800e+00      3.427e+01
6.900e+00      3.317e+01
7.000e+00      3.206e+01
7.100e+00      3.096e+01
7.200e+00      2.985e+01
7.300e+00      2.875e+01
7.400e+00      2.764e+01
7.500e+00      2.653e+01
7.600e+00      2.543e+01
7.700e+00      2.432e+01
7.800e+00      2.322e+01
7.900e+00      2.211e+01
8.000e+00      2.101e+01
8.100e+00      1.990e+01
8.200e+00      1.880e+01
8.300e+00      1.769e+01
8.400e+00      1.658e+01
8.500e+00      1.548e+01
8.600e+00      1.437e+01
8.700e+00      1.327e+01
8.800e+00      1.216e+01
8.900e+00      1.106e+01
9.000e+00      9.950e+00
9.100e+00      8.845e+00
9.200e+00      7.739e+00
9.300e+00      6.634e+00
9.400e+00      5.528e+00
9.500e+00      4.422e+00
9.600e+00      3.317e+00
9.700e+00      2.211e+00
9.800e+00      1.106e+00
9.900e+00      0.000e+00
1.000e+01      0.000e+00
