#         stepsize        d2u_approx         d2u_exact
  1.0000000000e-08 -1.1102230246e+00 -2.0611536224e-07
  1.0000000000e-07  1.1102230246e-02 -2.0611536224e-07
  1.0000000000e-06 -3.3306690739e-04 -2.0611536224e-07
  1.0000000000e-05 -1.1102230246e-06 -2.0611536224e-07
  1.0000000000e-04 -2.6645352591e-07 -2.0611536224e-07
  1.0000000000e-03 -2.0639046028e-07 -2.0611536224e-07
  1.0000000000e-02 -2.0628498909e-07 -2.0611536224e-07
  1.0000000000e-01 -2.2387454113e-07 -2.0611536224e-07
  1.0000000000e+00 -4.5395807549e-05 -2.0611536224e-07
